10th July 2023     , Begun Development                                               , Add+, Started development of framework for Cockpit v2                                                                                 , Cockpit            , https://i.imgur.com/xR0JjJh.png
20th August 2024   , Fixed ?/Android endpoint for Smarters Pro                       , Fix~, Fixed htaccess for the standard /?/Android endpoint to work as expected.                                                        , Smarters Pro       , https://i.imgur.com/iEb97E1.png
20th August 2024   , Added suppliment graphql endpoint                               , Add~, Added graphql.php endpoint for some Smarters Pro apps which use AWS GraphQL                                                     , Smarters Pro       , https://i.imgur.com/iEb97E1.png
21st August 2024   , Added better rules to htaccess for Smarters Pro                 , Add~, Added better handling of different endpoints for different types of official and modded apps to add further support.            , Smarters Pro       , https://i.imgur.com/iEb97E1.png
21st August 2024   , Added extra API for VPNs in Smarters Pro                        , Add~, Added the updated VPNs API for the newer Smarters Pro v4 apps.                                                                  , Smarters Pro       , https://i.imgur.com/iEb97E1.png
21st August 2024   , Fixed Intro Video uploading                                     , Fix~, Prevented caching of old Intro video to show the latest uploaded video asoon as uploaded.                                       , Smarters Pro       , https://i.imgur.com/iEb97E1.png
21st August 2024   , Fixed issue with Sparkle WebViews                               , Fix~, Fixed an issue preventing RTX Mods of Sparkle working as indented with WebViews.                                                , Sparkle TV         , https://i.imgur.com/qKEbeXG.png
25th August 2024   , Fixed issue with Sparkle WebViews                               , Fix~, Fixed an issue preventing RTX Mods of Sparkle working as indented with WebViews. (Fixed this time.)                             , Sparkle TV         , https://i.imgur.com/qKEbeXG.png
25th August 2024   , Fixed issue with sport Webview in panel                         , Fix~, Fixed an issue preventing the sport WebView selector from being viewable in the panel.                                          , Sparkle TV         , https://i.imgur.com/qKEbeXG.png
25th August 2024   , Added support for AH Mods                                       , Add~, Added Support for some AndyHax Mods API for NextTV IPTV                                                                         , NextTV IPTV        , https://i.imgur.com/PkmigBn.png
26th August 2024   , Fixed an issue with StreamBox API                               , Fix~, Fixed an issue preventing StreamBox API from working as expected.                                                               , StreamBox          , https://i.imgur.com/qHBgnHI.png
2nd September 2024 , Fixed htaccess in Smarters Pro                                  , Fix~, Fixed issues relating to the htaccess file in Smarters Pro panel.                                                               , Smarters Pro       , https://i.imgur.com/iEb97E1.png
2nd September 2024 , Added support for RTX 2.9.2r Mod                                , Add~, Added support for the RTX Mods version of Flix Vision 2.9.2r                                                                    , Flix Vision        , https://i.imgur.com/CQxNJjK.png
3rd September 2024 , Fixed htaccess in IBO SOl.                                      , Fix~, Fixed issues relating to the htaccess file in IBO Solutions panel.                                                              , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
3rd September 2024 , Added support for AH VU Player 1.7 Mod                          , Add~, Added support for AndyHaxs VU Player 1.7 mod.                                                                                   , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
3rd September 2024 , Fixed uploading in Design tab                                   , Fix~, Fixed uploading images and video in the Design tab of XCIPTV                                                                    , XCIPTV             , https://i.imgur.com/piaorjB.png
10th September 2024, Added support for RTX IBO 3.9 Mod                               , Add~, Added support for the RTX Mods ultimate version of IBO 3.9.                                                                     , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
11th September 2024, Updated the MAC Address entry                                   , Fix~, Updated the MAC Address entry format to match the selection of the MAC Length when using RTX 3.9 API setting                    , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
12th September 2024, Added support for Active Codes                                  , Add~, Added support for the Active Codes API for RTX 3.9 IBO Solutions                                                                , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
15th September 2024, Added Clear Visitors Button                                     , Add~, Added  a button to clear the visitors list in the superadmin panel.                                                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
15th September 2024, Fixed Currencies in Storefronts                                 , Fix~, Fixed an issue which would show the wrong currency in the storefronts no matter the selected setting.                           , Cockpit            , https://i.imgur.com/xR0JjJh.png
15th September 2024, Branding now shows in Page Title                                , Add~, Made it so the Branding Text now shows as the prefix of the Page Title for Cockpit Base pages.                                  , Cockpit            , https://i.imgur.com/xR0JjJh.png
17th September 2024, Added extra Mod endpoints                                       , Add~, Added extra endpoints for Smarters Pro to support more mods                                                                     , Smarters Pro       , https://i.imgur.com/iEb97E1.png
17th September 2024, Show Maximum upload size allowed                                , Add~, Now show the Maximum upload size allowed under the Video for custom files                                                       , Smarters Pro       , https://i.imgur.com/iEb97E1.png
17th September 2024, Fixed issue with displaying Logo and Background                 , Fix~, Fixed an issue which would prevent the logo and background from being displayed in the app.                                     , Smarters Pro       , https://i.imgur.com/iEb97E1.png
17th September 2024, Fixed sort-by State/Location                                    , Fix~, Fixed sort-by state/location in XCIPTV                                                                                          , XCIPTV             , https://i.imgur.com/piaorjB.png
17th September 2024, Updated Visitor Logs data entries                               , Fix~, Updated the Visitor logs to properly source the data using the IP address of the user for the statistics                        , Cockpit            , https://i.imgur.com/xR0JjJh.png
18th September 2024, Added enable/disable Automatic module updates                   , Add~, Added ability to enable and disable automatic module updates - defaulting to disabled.                                          , Cockpit            , https://i.imgur.com/xR0JjJh.png
19th September 2024, Added branding Text to Login page                               , Add~, If set - the branding text will display on the Login page.                                                                      , Cockpit            , https://i.imgur.com/xR0JjJh.png
19th September 2024, Added branding Image to Login page                              , Add~, If set - the branding image will display on the Login page.                                                                     , Cockpit            , https://i.imgur.com/xR0JjJh.png
20th September 2024, Added support for iMPlayer 3.7.5 mod                            , Add~, Added support for the 3.7.5 mod of iMPlayer TV                                                                                  , iMPlayer TV        , https://i.imgur.com/88ScGTg.png
24th September 2024, Added support for Login with Mobile                             , Add~, Added support for Login with Mobile for Smarters Pro v4.0.3+ app                                                                , Smarters Pro       , https://i.imgur.com/iEb97E1.png
24th September 2024, Added support for remote updating                               , Add~, Added support for remote updating of Smarters Pro v4.0.3+ app                                                                   , Smarters Pro       , https://i.imgur.com/iEb97E1.png
25th September 2024, Updated support for ionCube Loaders 13.0.3                      , Add~, Updated support for ionCube Loaders 13.0.3 in panel and all modules                                                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
25th September 2024, Fixed bugs introduced                                           , Fix~, Fixed bugs introduced in the new API endpoints for Smarters Pro v4.0.3+ app                                                     , Smarters Pro       , https://i.imgur.com/iEb97E1.png
27th September 2024, Added support for External Apps                                 , Add~, Added support for external apps in 3.7.5 mod of iMPlayer TV                                                                     , iMPlayer TV        , https://i.imgur.com/88ScGTg.png
28th September 2024, Fixed all .htaccess                                             , Fix~, Fixed all .htaccess files to be more secure.                                                                                    , Cockpit            , https://i.imgur.com/xR0JjJh.png
1st October 2024   , Fixed deleting Banners                                          , Fix~, Fixed deleting banners in LTQ2 panel                                                                                            , LTQ2               , https://i.imgur.com/5GYEXZD.png
1st October 2024   , Added Panel Title to Breadcrumbs                                , Add~, Added the Panel Title to the Breadcrumbs                                                                                        , Cockpit            , https://i.imgur.com/xR0JjJh.png
1st October 2024   , Fixed drop down menus                                           , Fix~, Fixed the drop down menus to have a default text when no option is selected                                                     , AppLinked          , https://i.imgur.com/QNose6V.png
1st October 2024   , Fixed drop down menus                                           , Fix~, Fixed the drop down menus to have a default text when no option is selected                                                     , APKTime            , https://i.imgur.com/znijyN4.png
1st October 2024   , Clear Stremio key cache after 2 weeks                           , Add~, Added a new setting to clear the Stremio key cache after 2 weeks. This is to prevent the cache from growing too large.          , Stremio            , https://i.imgur.com/546Gr2o.png
1st October 2024   , Removed error prone addons                                      , Fix~, Removed some default addons which are prone to errors causing issues with clients logging in                                    , Stremio            , https://i.imgur.com/546Gr2o.png
2nd October 2024   , Added Background Images to panel                                , Add~, Allow for up to 8 selectable Images to be displayed in the background of the panel from the Settings page                       , Cockpit            , https://i.imgur.com/xR0JjJh.png
2nd October 2024   , Added extra endpoints to XCIPTV                                 , Add~, Added extra endpoints to XCIPTV to support more mods                                                                            , XCIPTV             , https://i.imgur.com/piaorjB.png
2nd October 2024   , Added support for Cloud Backup feature                          , Add~, Added support for the Cloud Backup feature in the app                                                                           , XCIPTV             , https://i.imgur.com/piaorjB.png
4th October 2024   , Login redirect after timeout                                    , Add~, When logged out after time out - login will redirect to the page you were logged out from                                       , Cockpit            , https://i.imgur.com/xR0JjJh.png
6th October 2024   , Fixed deleting services                                         , Fix~, Fixed deleting services in iMPlayer TV panel                                                                                    , iMPlayer TV        , https://i.imgur.com/88ScGTg.png
7th October 2024   , Added optional reCaptcha v2 to Login                            , Add~, Added optional reCaptcha v2 to Login Page                                                                                       , Cockpit            , https://i.imgur.com/xR0JjJh.png
10th October 2024  , CustomWebviews overhaul                                         , Fix~, Overhauled CustomWebviews to allow for more customisation and easier management.                                                , Android Webviews   , https://i.imgur.com/N55kp3Z.png
10th October 2024  , Updated WebViews                                                , Fix , Updated WebViews for XCIPTV module                                                                                              , XCIPTV             , https://i.imgur.com/piaorjB.png
10th October 2024  , Updated WebViews                                                , Fix~, Updated WebViews for IBO Sol. RTX Mods API to support updated WebViews                                                          , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
10th October 2024  , Reenabled Layouts/Themes                                        , Add~, Reenabled layouts and themes in IBO Sol. RTX Mods API to support updated WebViews                                               , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
10th October 2024  , Updated WebViews                                                , Fix~, Updated WebViews for LTQ2 module                                                                                                , LTQ2               , https://i.imgur.com/5GYEXZD.png
10th October 2024  , Updated WebViews                                                , Fix~, Updated WebViews for Purple Player module                                                                                       , Purple Player      , https://i.imgur.com/DIUv5jl.png
10th October 2024  , Updated WebViews                                                , Fix~, Updated WebViews for Smarters Pro module                                                                                        , Smarters Pro       , https://i.imgur.com/iEb97E1.png
10th October 2024  , Updated WebViews                                                , Fix~, Updated WebViews for Sparkle TV module                                                                                          , Sparkle TV         , https://i.imgur.com/qKEbeXG.png
10th October 2024  , Updated WebViews                                                , Fix~, Updated WebViews for TiviMate module                                                                                            , TiviMate           , https://i.imgur.com/uRg0UxZ.png
11th October 2024  , Updated Manual Ads                                              , Fix~, Updated Ads in Smarters Pro to merge with the Slideshow WebView when added                                                      , Smarters Pro       , https://i.imgur.com/iEb97E1.png
12th October 2024  , Fixed mixing images and video                                   , Fix~, Fixed mixing Video and Images in the Media Slideshow WebView                                                                    , Android Webviews   , https://i.imgur.com/N55kp3Z.png
12th October 2024  , Fixed issue adding remote url                                   , Fix~, Fixed an issue preventing the user returning to the correct page after adding a remote URL in Media Slideshow WebView           , Android Webviews   , https://i.imgur.com/N55kp3Z.png
13th October 2024  , Fixed issues with some TMDB WebViews                            , Fix~, Fixed issues with some TMDB WebViews                                                                                            , Android Webviews   , https://i.imgur.com/N55kp3Z.png
14th October 2024  , Updated support for ionCube Loaders 14.0.0                      , Add~, Updated support for ionCube Loaders 14.0.0 in panel and all modules                                                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
14th October 2024  , Added TheSportsDB: League Table WebView                         , Add~, Added TheSportsDB: League Table WebView                                                                                         , Android Webviews   , https://i.imgur.com/N55kp3Z.png
15th October 2024  , Added TheSportsDB: League Cards WebView                         , Add~, Added TheSportsDB: Fixtures WebView                                                                                             , Android Webviews   , https://i.imgur.com/N55kp3Z.png
16th October 2024  , Added Websites WebView                                          , Add~, Added Websites webview to allow users to point to their own hosted webviews                                                     , Android Webviews   , https://i.imgur.com/N55kp3Z.png
17th October 2024  , Fixed TMDB Webviews 15/16/17/18 and 19                          , Fix~, Fixed Webviews 15/16/17/18 and 19                                                                                               , Android Webviews   , https://i.imgur.com/N55kp3Z.png
18th October 2024  , Added FramedViews 1 & 2 WebViews                                , Add~, Added FramedViews 1 & 2 WebViews                                                                                                , Android Webviews   , https://i.imgur.com/N55kp3Z.png
19th October 2024  , Added FramedViews 3 WebView                                     , Add~, Added FramedViews 3 & 4 WebViews                                                                                                , Android Webviews   , https://i.imgur.com/N55kp3Z.png
20th October 2024  , Added AndyHax TMDB Webviews 20 & 21                             , Add~, Added AndyHax TMDB Webviews 20 & 21                                                                                             , Android Webviews   , https://i.imgur.com/N55kp3Z.png
20th October 2024  , Added Silenc_e_r TMDB Webview 22                                , Add~, Added Silenc_e_r TMDB Webview 22                                                                                                , Android Webviews   , https://i.imgur.com/N55kp3Z.png
21st October 2024  , Fixed decoupling issue with services                            , Fix~, Fixed an issue which would decouple users from selected services when edited in IBO Sol                                         , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
21st October 2024  , Added View Fullscreen button                                    , Add~, Added View Fullscreen button the all the WebViews to give more idea of what can be expected in app.                             , Android Webviews   , https://i.imgur.com/N55kp3Z.png
23rd October 2024  , Added QR Code Generator to tools                                , Add~, Added QR Code Generator to tools for easier serving of links to customers.                                                      , Cockpit            , https://i.imgur.com/xR0JjJh.png
24th October 2024  , Fixed issue with protocol_check in IBO SOl.                     , Fix~, Fixed an issue which would cause the protocol_check to fail when using IBO Sol.                                                 , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
25th October 2024  , Added all TheSportsDB Leagues to dropdown                       , Add~, Added all TheSportsDB Leagues to dropdown for the Leagues WebViews                                                              , Android Webviews   , https://i.imgur.com/N55kp3Z.png
28th October 2024  , Fixed issues with WebViews                                      , Fix~, Fixed issues with WebViews not working as expected.                                                                             , Sparkle TV         , https://i.imgur.com/qKEbeXG.png
28th October 2024  , Added support for RTX Mods v2.0.1                               , Add~, Added support for the RTX Mods version of the 2.0.1 app                                                                         , Sparkle TV         , https://i.imgur.com/qKEbeXG.png
28th October 2024  , Fixed issues with some WebViews                                 , Fix~, Fixed issues with some WebViews not working as expected.                                                                        , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
30th October 2024  , Added support for Easy Player                                   , Add~, Added support for Easy Player mods with XCodes and Codes                                                                        , Easy Player        , https://i.imgur.com/etTrMvy.png
31st October 2024  , Added support for Remote images                                 , Add~, Added support for Remote images in Easy Player panel                                                                            , Easy Player        , https://i.imgur.com/etTrMvy.png
31st October 2024  , Added support for Announcements                                 , Add~, Added support for Announcements in Easy Player panel                                                                            , Easy Player        , https://i.imgur.com/etTrMvy.png
31st October 2024  , Fixed issue with deleting Annoucements                          , Fix~, Fixed issue with deleting Announcements                                                                                         , Easy Player        , https://i.imgur.com/etTrMvy.png
1st November 2024  , Updated support for ionCube Loaders 14.0.1                      , Add~, Updated support for ionCube Loaders 14.0.1 in panel and all modules                                                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
3rd November 2024  , Added support for ORVPN                                         , Add~, Added support for ORVPN (XCIPTV Standalone VPN)                                                                                 , OTRVPN             , https://i.imgur.com/OBzevBe.png
4th November 2024  , Fixed issues with depreciated functions                         , Fix~, Fixed an issue in various places where depreciated functions were used.                                                         , Cockpit            , https://i.imgur.com/xR0JjJh.png
5th November 2024  , Added support for Purple Neu                                    , ~Add, Added support for Purple Neu Active Code                                                                                        , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
6th November 2024  , Fixed an issue with Dashboard Stats                             , Fix~, Fixed an issue which would always default to 'Cockpit Panel' instead of the correct App being used.                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
7th November 2024  , Fixed an issue with Visitor Logs                                , Fix~, Fixed various issues with Visitor Logs - especially when panel used by larger service providers.                                , Cockpit            , https://i.imgur.com/xR0JjJh.png
8th November 2024  , Added support for RTX3.2.7                                      , Add~, Added support for NexTv IPTV RTX3.2.7                                                                                           , NexTv IPTV         , https://i.imgur.com/PkmigBn.png
9th November 2024  , Added Clear User Cache button                                   , Add~, Added Clear User Cache button to Stremio panel for oversized caches early trimming.                                             , Stremio            , https://i.imgur.com/546Gr2o.png
9th November 2024  , Fixed issue with Announcements                                  , Fix~, Fixed an issue with Announcements not working as expected.                                                                      , Easy Player        , https://i.imgur.com/etTrMvy.png
9th November 2024  , Added support for Smarters Windows                              , Add~, Added support for Smarters Windows executable                                                                                   , Smarters Pro       , https://i.imgur.com/iEb97E1.png
9th November 2024  , IBO Sol. Silenc_e_r Polish Translation                          , Fix~, Silenc_e_r updated the Polish Translation for IBO Solutions                                                                     , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
10th November 2024 , Added TheSportsDB.com API Key back                              , Fix~, Re-enabled setting your own API Key for TheSportsDB.com in the panel                                                            , Android Webviews   , https://i.imgur.com/N55kp3Z.png
12th November 2024 , Fixed issue with FramedViews                                    , Fix~, Fixed an issue which could stop Framedviews from working in apps as expected.                                                   , Android Webviews   , https://i.imgur.com/N55kp3Z.png
13th November 2024 , Fixed issue with Editing Lang                                   , Fix~, Fixed an issue with editing Languages in the IBO Sol. panel                                                                     , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
13th November 2024 , Fixed issue with Superadmin                                     , Fix~, Fixed an issue which would allow non superadmin to get into the superadmin page.                                                , Cockpit            , https://i.imgur.com/xR0JjJh.png
15th November 2024 , Added Expirey to Active Codes                                   , Add~, Added Expirey to Active Codes                                                                                                   , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
15th November 2024 , Added Search to Active Codes table                              , Add~, Added Search to Active Codes table                                                                                              , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
15th November 2024 , Fixed issue with Settings                                       , Fix~, Fixed an issue preventing settings for Admin account saving                                                                     , Cockpit            , https://i.imgur.com/xR0JjJh.png
15th November 2024 , Added Polish Ekstraklasa                                        , Add~, Added Polish Ekstraklasa to TheSportsDB dropdown manually                                                                       , Android Webviews   , https://i.imgur.com/N55kp3Z.png
15th November 2024 , Fixed issues with Purple Player App Video                       , Fix~, Fixed issues with Purple Player uploading video for the App Video                                                               , Purple Player      , https://i.imgur.com/DIUv5jl.png
15th November 2024 , Fixed issue not saving heading and subtitle                     , Fix~, Fixed an issue which would not save the heading and subtile for FramedView Layout 3                                             , Android Webviews   , https://i.imgur.com/N55kp3Z.png
16th November 2024 , Fixed issue with swapping FramedViews                           , Fix~, Fixed an issue which would not allow swapping FramedViews                                                                       , Android Webviews   , https://i.imgur.com/N55kp3Z.png
20th November 2024 , Fixed an issue which could prevent APIs from working as expected, Fix~, Fixed an issue which could prevent APIs from working as expected                                                                , Cockpit            , https://i.imgur.com/xR0JjJh.png
21st November 2024 , Fixed issue with TheSportsDB League Cards                       , Fix~, Fixed an issue which could prevent TheSportsDB League Cards from working as expected                                            , Android Webviews   , https://i.imgur.com/N55kp3Z.png
23rd November 2024 , Added S9H Store Panel                                           , Add~, Added support for the S9H Store application/mods                                                                                , S9H Store          , https://i.imgur.com/aVueFmt.png
23rd November 2024 , Updated Chatbox in Superadmin                                   , Fix~, Updates from the Telegram group now displayed in the Chatbox in the Superadmin panel                                            , Cockpit            , https://i.imgur.com/xR0JjJh.png
26th November 2024 , FFixed issue with TheSportsDB League Cards                      , Fix~, Fixed an issue which would only show one league and ignored users API Key                                                       , Android Webviews   , https://i.imgur.com/N55kp3Z.png
11th December 2024 , Added support for RTX SmartTube 25.08 mod                       , Add~, Added support for the RTX Mods version of the SmartTube application                                                             , SmartTube          , https://i.imgur.com/dOjhvLv.png
13th December 2024 , Added support for RTX TiviMate 5.1.0-3 mod                      , Add~, Added support for the RTX Mods version of the TiviMate application                                                              , TiviMate           , https://i.imgur.com/uRg0UxZ.png
14th December 2024 , Added Dynamic loading of WebViews to dropdowns                  , Add~, Added support for dynamic loading of WebViews into drop down menus for later use                                                , Cockpit            , https://i.imgur.com/xR0JjJh.png
14th December 2024 , Updated XCIPTV for Dynamic WebView loading                      , Add~, Updated XCIPTV for Dynamic WebView loading                                                                                      , XCIPTV             , https://i.imgur.com/piaorjB.png
14th December 2024 , Updated TiviMate for Dynamic WebView loading                    , Add~, Updated TiviMate for Dynamic WebView loading                                                                                    , TiviMate           , https://i.imgur.com/uRg0UxZ.png
14th December 2024 , Updated Sparkle TV for Dynamic WebView loading                  , Add~, Updated Sparkle TV for Dynamic WebView loading                                                                                  , Sparkle TV         , https://i.imgur.com/qKEbeXG.png
14th December 2024 , Updated Smarters Pro for Dynamic WebView loading                , Add~, Updated Smarters Pro for Dynamic WebView loading                                                                                , Smarters Pro       , https://i.imgur.com/iEb97E1.png
14th December 2024 , Updated Purple Player for Dynamic WebView loading               , Add~, Updated Purple Player for Dynamic WebView loading                                                                               , Purple Player      , https://i.imgur.com/DIUv5jl.png
14th December 2024 , Updated LTQ2 for Dynamic WebView loading                        , Add~, Updated LTQ2 for Dynamic WebView loading                                                                                        , LTQ2               , https://i.imgur.com/5GYEXZD.png
14th December 2024 , Updated IBO Solutions for Dynamic WebView loading               , Add~, Updated IBO Solutions for Dynamic WebView loading                                                                               , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
15th December 2024 , Added support for StreamBox 3.0.0                               , Add~, Added support for StreamBox 3.0.0 with various fixes and improvements                                                           , StreamBox          , https://i.imgur.com/qHBgnHI.png
18th December 2024 , Added extra API for 7.0-1000+                                   , Add~, Added support for extra API parts in XCIPTV 7.0-1000+                                                                           , XCIPTV             , https://i.imgur.com/piaorjB.png
19th December 2024 , Fixed check.php for TiviMate module                             , Fix~, Fixed an issue which would rely on Official TiviMate but broke over time.                                                       , TiviMate           , https://i.imgur.com/uRg0UxZ.png
22nd December 2024 , Fixed an API issue                                              , Fix~, Fixed an API issue in StreamBox which could prevent the app from working as expected.                                           , StreamBox          , https://i.imgur.com/qHBgnHI.png
10th January 2025  , Fixed playlist names in IBO Sol.                                , Fix~, Fixed an oversight with the Playlist name setting in IBO Sol. panel making it always show Username regardless of setting.       , IBO Solutions      , https://i.imgur.com/z13H3dJ.png
10th January 2025  , Fixed an issue with VPN file names                              , Fix~, Fixed issue with naming of VPNs in some Smarters Pro mods preventing them from working correctly.                               , Smarters Pro       , https://i.imgur.com/iEb97E1.png
19th January 2025  , Added support for AH iMPlayer 3.7.5                             , Add~, Added support for the AndyHax iMPlayer 3.7.5 mod.                                                                               , iMPlayer TV        , https://i.imgur.com/88ScGTg.png
20th January 2025  , Added support for AH TiviMate 5.1.0-3                           , Add~, Added support for the AndyHax TiviMate 5.1.0-3 mod.                                                                             , TiviMate           , https://i.imgur.com/uRg0UxZ.png
21st January 2025  , Fixed responsiveness of Stremio API                             , Fix~, Fixed an issue with the Stremio response API which would not fire as quick as expected.                                         , Stremio            , https://i.imgur.com/546Gr2o.png
22nd January 2025  , Added support for AH SparkleTV 2.1.0                            , Add~, Added support for the AndyHax SparkleTV 2.1.0 mod.                                                                              , Sparkle TV         , https://i.imgur.com/qKEbeXG.png
22nd January 2025  , Added support for AH SmartTube 25.24                            , Add~, Added support for the AndyHax SmartTube 25.24 mod.                                                                              , SmartTube          , https://i.imgur.com/dOjhvLv.png
22nd January 2025  , Added support for AH 9Xtream 39.0.1                             , Add~, Added support for the AndyHax 9Xtream 39.0.1 mod.                                                                               , 9Xtream            , https://i.imgur.com/1BuEnVi.png
24th January 2025  , Updated FlixVision conf.json support                            , Add~, Updated FlixVision conf.json support for the latest mods when they arrive.                                                      , Flix Vision        , https://i.imgur.com/CQxNJjK.png
28th January 2025  , Fixed Maintenance mode                                          , Fix~, Fixed the time suffix for maintnance mode in XCIPTV.                                                                            , XCIPTV             , https://i.imgur.com/piaorjB.png
31st January 2025  , Added support for RTX 1.1.6 Mod                                 , Add~, Added support for the RTX Mods version of the app.                                                                              , HDO Box            , https://i.imgur.com/GOgN9xF.png
1st February 2025  , Added FCD Box Module                                            , Add~, Added support for the FCD Box Mods                                                                                              , FCD Box            , https://i.imgur.com/Q0Et9PS.png
3rd February 2025  , Updated support for ionCube Loaders 14.0.2                      , Add~, Updated support for ionCube Loaders 14.0.2 in panel and all modules                                                             , Cockpit            , https://i.imgur.com/xR0JjJh.png
4th February 2025  , Fixed an issue with some endpoints                              , Fix~, Fixed an issue with some endpoints not working as expected                                                                      , Multi-service Proxy, https://i.imgur.com/mgtUBgN.png
4th February 2025  , Added support for more endpoints                                , Add~, Added support for more endpoints in the Multi-service Proxy module                                                              , Multi-service Proxy, https://i.imgur.com/mgtUBgN.png
6th February 2025  , Added support for Smarters Windows                              , Add~, Added support for Smarters Windows executable                                                                                   , Smarters Pro       , https://i.imgur.com/iEb97E1.png
8th February 2025  , Fixed login through Mobile App                                  , Fix~, Fixed login through Mobile app in Smarters Pro v4.0.3+ app                                                                      , Smarters Pro       , https://i.imgur.com/iEb97E1.png
10th February 2025 , Added ability to import Service Data                            , Add~, Added ability to import Service Data in Purple Neu                                                                              , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
10th February 2025 , Added helper to find Service IDs                                , Add~, Added helper to find Service IDs in Purple Neu                                                                                  , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
11th February 2025 , Added User & Pass login with Active code                        , Add~, Added User & Pass login with Active code in Purple Neu                                                                          , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
11th February 2025 , Added Update Log                                                , Add~, Added Update Log to Purple Neu                                                                                                  , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
12th February 2025 , Added user TMDB Requests                                        , Add~, Added user TMDB Requests to Purple Neu                                                                                          , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
12th February 2025 , Added user Reports                                              , Add~, Added user Reports to Purple Neu                                                                                                , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
12th February 2025 , Added Notifications                                             , Add~, Added Notifications to Purple Neu                                                                                               , Purple Neu         , https://i.imgur.com/E9dZ2Dn.png
14th February 2025 , Added support for Intro                                         , Add~, Added support for Intro Video in FCD Box                                                                                        , FCD Box            , https://i.imgur.com/Q0Et9PS.png
14th February 2025 , Added support for VPN                                           , Add~, Added support for VPN in FCD Box                                                                                                , FCD Box            , https://i.imgur.com/Q0Et9PS.png
14th February 2025 , Fixed issue with Additional Services                            , Fix~, Fixed an issue where setting up Multi-dns wouldnt work as expected                                                              , FCD Box            , https://i.imgur.com/Q0Et9PS.png
14th February 2025 , Fixed issue with Intro Video uploading                          , Fix~, Fixed an issue which could sometimes cause an error when uploading an Intro Video                                               , Smarters Pro       , https://i.imgur.com/iEb97E1.png
17th February 2025 , Fixed an issue with updating Category Pin                       , Fix~, Fixed an issue with updating or removing a Category pin in APKTime                                                              , APKTime            , https://i.imgur.com/znijyN4.png
17th February 2025 , Updated graphql to support other endpoints                      , Add~, Updated graphql to support other endpoints in Smarters Pro                                                                      , Smarters Pro       , https://i.imgur.com/iEb97E1.png
17th February 2025 , Added support for get-publisheddata                             , Add~, Added support for get-publisheddata in Smarters Pro                                                                             , Smarters Pro       , https://i.imgur.com/iEb97E1.png
18th February 2025 , Added Downloader Module                                         , Add~, Added support for the Downloader Mods                                                                                           , Downloader         , https://i.imgur.com/cKvEC3w.png
19th February 2025 , Added support for extra endpoints                               , Add~, Added extra endpoint support in Smarters Pro                                                                                    , Smarters Pro       , https://i.imgur.com/iEb97E1.png
19th February 2025 , Added support for Download Enable/Disable                       , Add~, Added support for Download Enable/Disable in Smarters Pro AndyHax 4.0.5 mod                                                     , Smarters Pro       , https://i.imgur.com/iEb97E1.png
22nd February 2025 , Added work-arround for Smarters Windows single/multi issue      , Add~, Added work-arround for Smarters Windows single/multi issue in Smarters Pro                                                      , Smarters Pro       , https://i.imgur.com/iEb97E1.png
25th February 2025 , Updated support for PHP 8.1-8.4+                                , Add~, Updated support for PHP 8.1-8.4 in panel and all modules                                                                        , Cockpit            , https://i.imgur.com/xR0JjJh.png
25th February 2025 , Fixed issue with thumbnails for background selector             , Fix~, Fixed an issue with thumbnails for background selector in panel                                                                 , Cockpit            , https://i.imgur.com/xR0JjJh.png
25th February 2025 , Addded Theme Panel for easier user theme selection              , Add~, Added Theme Panel for easier user theme selection in panel                                                                      , Cockpit            , https://i.imgur.com/xR0JjJh.png
1st March 2025     , Added ShortURL generator to Tools                               , Add~, Added ShortURL generator to Tools for easier sharing of links to customers.                                                     , Cockpit            , https://i.imgur.com/xR0JjJh.png
2nd March 2025     , Added Superadmin toggles for Admin menu items                   , Add~, Added Superadmin toggles for Admin menu items to allow for easier management                                                    , Cockpit            , https://i.imgur.com/xR0JjJh.png
